Livro;Trecho;Tema;Reflexão;Pergunta;Desafio;Oração
Gênesis 1:1;No princípio, Deus criou os céus e a terra.;Quando Deus transforma o caos em recomeço;Antes de existir qualquer sonho seu, Deus já existia. O primeiro cenário da Bíblia era vazio, sem forma e mergulhado em trevas. Mesmo assim, Deus não desistiu da criação, Ele começou a agir. Talvez hoje o seu coração pareça esse cenário, mas o Senhor continua especializado em trazer luz onde só existe escuridão. O caos nunca assustou o Criador.;Qual área da minha vida precisa ouvir novamente 'Haja luz'?;Escreva três áreas da sua vida que precisam de um novo começo e apresente cada uma em oração.;Pai, visita as áreas da minha vida que parecem vazias. Onde eu só vejo caos, libera Tua luz. Faz nascer esperança, fé e um novo tempo em nome de Jesus. Amém.
Colossenses 3:23;Façam tudo como para o Senhor.;Excelência;Cada pequena tarefa pode se tornar um ato de adoração. Quando trabalhamos para Deus, o ordinário ganha propósito eterno.;Tenho servido com excelência?;Faça seu melhor hoje, mesmo nas pequenas coisas.;Recebe meu serviço como adoração.
Sofonias 3:17;O Senhor se alegrará em ti.;Amor do Pai;É maravilhoso saber que Deus não apenas nos ama, Ele também se alegra conosco. Você não é um peso para Deus, mas um filho amado.;Tenho vivido como alguém amado por Deus?;Lembre-se durante o dia que você pertence ao Senhor.;Obrigado pelo Teu amor perfeito.
Romanos 12:2;Transformai-vos pela renovação da mente.;Nova Mente;A mudança que Deus faz começa dentro de nós. Quando a mente é renovada pela Palavra, toda a vida passa a refletir a vontade do Pai.;O que preciso deixar para trás?;Substitua um pensamento negativo por uma promessa bíblica.;Renova meu entendimento.
1 Crônicas 16:11;Busquem o Senhor e a sua força.;A presença vale mais;Há pessoas que procuram a mão de Deus, mas esquecem de buscar Seu rosto. A maior recompensa da oração não é receber algo, mas conhecer mais o coração do Pai. Quem aprende a amar a presença nunca vive vazio.;Tenho buscado Deus apenas quando preciso de ajuda?;Separe quinze minutos apenas para adorar, sem fazer pedidos.;Jesus, que eu deseje mais a Tua presença do que qualquer bênção que Tu possas me dar. Amém.
Filipenses 4:13;Tudo posso naquele que me fortalece.;Força em Cristo;Sua capacidade tem limites, mas o poder de Cristo não. Deus fortalece aqueles que permanecem fiéis mesmo quando se sentem fracos.;Onde preciso da força de Cristo?;Encoraje alguém hoje.;Fortalece-me para cumprir Teu propósito.
2 Timóteo 1:7;Deus não nos deu espírito de covardia.;Coragem;O medo tenta paralisar, mas Deus derrama poder, amor e equilíbrio. Não permita que a insegurança silencie o propósito que Deus colocou em sua vida.;Qual passo de fé preciso dar?;Faça hoje aquilo que Deus já colocou em seu coração.;Reveste-me de coragem.
Salmos 23:1;O Senhor é o meu pastor, nada me faltará.;O Bom Pastor;Tudo muda quando Deus deixa de ser apenas uma ideia e passa a ser o Pastor da nossa vida. O Pastor conhece o caminho, protege as ovelhas e nunca abandona quem pertence ao Seu rebanho. Talvez hoje você sinta que falta força, direção ou esperança. Mas, se o Senhor é o seu Pastor, aquilo que realmente é necessário jamais faltará. Deus sempre supre primeiro a alma para depois cuidar do restante.;Tenho permitido que Deus conduza meus passos ou ainda tento fazer tudo sozinho?;Leia este salmo lentamente antes de dormir.;Senhor, conduz a minha vida e ensina-me a descansar no Teu cuidado.
Salmos 27:1;O Senhor é a minha luz e a minha salvação.;Luz nas Trevas;Quando a presença de Deus ilumina o coração, o medo perde a força. A escuridão pode até cercar você, mas não consegue apagar a luz que vem do Senhor. Quem caminha com Deus não vive guiado pelo medo, mas pela certeza de que o Senhor está à frente de cada batalha.;O que hoje tem roubado minha coragem?;Declare em oração que Deus é maior do que seus medos.;Pai, ilumina meu caminho e fortalece minha fé.
Isaías 40:31;Os que esperam no Senhor renovam as forças.;Renovo;Quem espera em Deus nunca espera em vão. O céu renova aqueles que permanecem firmes.;Onde preciso de renovação?;Descanse alguns minutos em oração.;Renova minhas forças.
